rank,input_difference,output_mask,samples,matches,probability,bias,correlation,abs_correlation,standard_error,approx_95ci_low,approx_95ci_high,seed,rounds,feedforward
144,w15.b18,w00.b00,512,249,0.486328125,-0.013671875,-0.02734375,0.02734375,0.022088824585087156,0.4430340288132292,0.5296222211867708,20260617,4,False
145,w15.b28,w05.b09,512,263,0.513671875,0.013671875,0.02734375,0.02734375,0.022088824585087156,0.4703777788132292,0.5569659711867708,20260617,4,False
146,w00.b00,w05.b09,512,250,0.48828125,-0.01171875,-0.0234375,0.0234375,0.02209101693219465,0.4449828568128985,0.5315796431871015,20260617,4,False
147,w01.b25,w05.b09,512,250,0.48828125,-0.01171875,-0.0234375,0.0234375,0.02209101693219465,0.4449828568128985,0.5315796431871015,20260617,4,False
148,w05.b00+w10.b00,w13.b00,512,262,0.51171875,0.01171875,0.0234375,0.0234375,0.02209101693219465,0.4684203568128985,0.5550171431871015,20260617,4,False
149,w05.b07,w12.b04,512,250,0.48828125,-0.01171875,-0.0234375,0.0234375,0.02209101693219465,0.4449828568128985,0.5315796431871015,20260617,4,False
150,w08.b13+w12.b13,w00.b07+w04.b07,512,250,0.48828125,-0.01171875,-0.0234375,0.0234375,0.02209101693219465,0.4449828568128985,0.5315796431871015,20260617,4,False
151,w08.b13+w12.b13,w03.b29,512,262,0.51171875,0.01171875,0.0234375,0.0234375,0.02209101693219465,0.4684203568128985,0.5550171431871015,20260617,4,False
152,w08.b13+w12.b13,w10.b13,512,262,0.51171875,0.01171875,0.0234375,0.0234375,0.02209101693219465,0.4684203568128985,0.5550171431871015,20260617,4,False
153,w09.b28,w01.b00,512,250,0.48828125,-0.01171875,-0.0234375,0.0234375,0.02209101693219465,0.4449828568128985,0.5315796431871015,20260617,4,False
154,w15.b18,w10.b13,512,262,0.51171875,0.01171875,0.0234375,0.0234375,0.02209101693219465,0.4684203568128985,0.5550171431871015,20260617,4,False
155,w15.b18,w15.b18,512,262,0.51171875,0.01171875,0.0234375,0.0234375,0.02209101693219465,0.4684203568128985,0.5550171431871015,20260617,4,False
156,w15.b28,w08.b13+w12.b13,512,250,0.48828125,-0.01171875,-0.0234375,0.0234375,0.02209101693219465,0.4449828568128985,0.5315796431871015,20260617,4,False
157,w15.b28,w10.b13,512,250,0.48828125,-0.01171875,-0.0234375,0.0234375,0.02209101693219465,0.4449828568128985,0.5315796431871015,20260617,4,False
158,w15.b28,w12.b23,512,250,0.48828125,-0.01171875,-0.0234375,0.0234375,0.02209101693219465,0.4449828568128985,0.5315796431871015,20260617,4,False
159,w00.b00,w00.b07+w04.b07,512,251,0.490234375,-0.009765625,-0.01953125,0.01953125,0.02209287182520817,0.446932346222592,0.533536403777408,20260617,4,False
160,w00.b00,w13.b19,512,251,0.490234375,-0.009765625,-0.01953125,0.01953125,0.02209287182520817,0.446932346222592,0.533536403777408,20260617,4,False
161,w00.b00,w15.b18,512,251,0.490234375,-0.009765625,-0.01953125,0.01953125,0.02209287182520817,0.446932346222592,0.533536403777408,20260617,4,False
162,w00.b00+w01.b00,w00.b07+w04.b07,512,261,0.509765625,0.009765625,0.01953125,0.01953125,0.02209287182520817,0.466463596222592,0.553067653777408,20260617,4,False
163,w00.b00+w01.b00,w10.b13,512,261,0.509765625,0.009765625,0.01953125,0.01953125,0.02209287182520817,0.466463596222592,0.553067653777408,20260617,4,False
164,w00.b07+w04.b07,w13.b00,512,261,0.509765625,0.009765625,0.01953125,0.01953125,0.02209287182520817,0.466463596222592,0.553067653777408,20260617,4,False
165,w01.b00,w05.b09,512,251,0.490234375,-0.009765625,-0.01953125,0.01953125,0.02209287182520817,0.446932346222592,0.533536403777408,20260617,4,False
166,w01.b25,w00.b00+w01.b00,512,261,0.509765625,0.009765625,0.01953125,0.01953125,0.02209287182520817,0.466463596222592,0.553067653777408,20260617,4,False
167,w01.b25,w10.b13,512,251,0.490234375,-0.009765625,-0.01953125,0.01953125,0.02209287182520817,0.446932346222592,0.533536403777408,20260617,4,False
168,w04.b00,w01.b00,512,251,0.490234375,-0.009765625,-0.01953125,0.01953125,0.02209287182520817,0.446932346222592,0.533536403777408,20260617,4,False
169,w04.b00,w13.b00,512,251,0.490234375,-0.009765625,-0.01953125,0.01953125,0.02209287182520817,0.446932346222592,0.533536403777408,20260617,4,False
170,w04.b00,w15.b18,512,261,0.509765625,0.009765625,0.01953125,0.01953125,0.02209287182520817,0.466463596222592,0.553067653777408,20260617,4,False
171,w05.b00+w10.b00,w05.b09+w10.b09,512,251,0.490234375,-0.009765625,-0.01953125,0.01953125,0.02209287182520817,0.446932346222592,0.533536403777408,20260617,4,False
